surce,line,text,
texto15,0,"Si nombro pájaro, o lumbre, o pronuncio con orden sonidos,",
texto15,1,"siempre de acuerdo con la norma,",
texto15,2,"cualquiera imagina sin esfuerzo los objetos.",
texto15,3,"Incluso si digo vuelo, ladrido, número o cosas más complejas",
texto15,4,"cualquiera evoca con certeza una pluma en el aire,",
texto15,5,"la sombra de un perro",
texto15,6,"o la cantidad finita de granos de arena en un reloj.",
