surce,line,text,
texto 14,0,"El vaho de los cristales revelaba el frío de la mañana. Sobre el vaivén incansable de las olas pudo colgar otros ruidos familiares del despertar en la aldea: ",
texto 14,1,"el acero de los carros sobre las chinas de la calle, los perezosos esquilones de las vacas, el maullido de los gatos en los tejados de pizarra… A su alrededor, ",
texto 14,2,"en la matizada oscuridad, distinguió las siluetas de la percha, la cómoda, la silla desvencijada y el esqueleto de la lámpara en el techo. ",
texto 14,3,"Sintió aprensión al observar los barrotes a los pies de su cama.",
